name	chromosome	strand	txStart	txEnd	exonStarts	exonEnds	name2	exon_number
NM_004958.3	1	-	11166587	11322608	11188510	11188609	MTOR	42
NM_004958.3	1	-	11166587	11322608	11188911	11189008	MTOR	41
NM_004958.3	1	-	11166587	11322608	11189794	11189895	MTOR	40
NM_004958.3	1	-	11166587	11322608	11190585	11190834	MTOR	39
NM_004958.3	1	-	11166587	11322608	11193136	11193254	MTOR	38
NM_004958.3	1	-	11166587	11322608	11194407	11194523	MTOR	37
NM_004958.3	1	-	11166587	11322608	11199360	11199492	MTOR	36
NM_004958.3	1	-	11166587	11322608	11199589	11199715	MTOR	35
NM_004958.3	1	-	11166587	11322608	11204704	11204812	MTOR	34
NM_004958.3	1	-	11166587	11322608	11205024	11205102	MTOR	33
NM_004958.3	1	-	11166587	11322608	11206732	11206848	MTOR	32
NM_004958.3	1	-	11166587	11322608	11210182	11210283	MTOR	31
NM_004958.3	1	-	11166587	11322608	11217208	11217348	MTOR	30
NM_004958.3	1	-	11166587	11322608	11227498	11227574	MTOR	29
NM_004958.3	1	-	11166587	11322608	11259314	11259460	MTOR	28
NM_004958.3	1	-	11166587	11322608	11259597	11259760	MTOR	27
NM_004958.3	1	-	11166587	11322608	11264617	11264760	MTOR	26
NM_004958.3	1	-	11166587	11322608	11269368	11269515	MTOR	25
NM_004958.3	1	-	11166587	11322608	11270870	11270963	MTOR	24
NM_004958.3	1	-	11166587	11322608	11272368	11272531	MTOR	23
NM_004958.3	1	-	11166587	11322608	11272852	11272965	MTOR	22
NM_004958.3	1	-	11166587	11322608	11273455	11273623	MTOR	21
NM_004958.3	1	-	11166587	11322608	11276204	11276291	MTOR	20
NM_004958.3	1	-	11166587	11322608	11288724	11288975	MTOR	19
NM_004958.3	1	-	11166587	11322608	11290981	11291111	MTOR	18
NM_004958.3	1	-	11166587	11322608	11291356	11291491	MTOR	17
NM_004958.3	1	-	11166587	11322608	11292492	11292585	MTOR	16
NM_004958.3	1	-	11166587	11322608	11293454	11293544	MTOR	15
NM_004958.3	1	-	11166587	11322608	11294199	11294322	MTOR	14
NM_004958.3	1	-	11166587	11322608	11297899	11298105	MTOR	13
NM_004958.3	1	-	11166587	11322608	11298458	11298674	MTOR	12
NM_004958.3	1	-	11166587	11322608	11300359	11300604	MTOR	11
NM_004958.3	1	-	11166587	11322608	11301609	11301738	MTOR	10
NM_004958.3	1	-	11166587	11322608	11303170	11303357	MTOR	9
NM_004958.3	1	-	11166587	11322608	11307681	11307790	MTOR	8
NM_004958.3	1	-	11166587	11322608	11307875	11308151	MTOR	7
NM_004958.3	1	-	11166587	11322608	11313895	11314030	MTOR	6
NM_004958.3	1	-	11166587	11322608	11316048	11316249	MTOR	5
NM_004958.3	1	-	11166587	11322608	11316989	11317222	MTOR	4
NM_004958.3	1	-	11166587	11322608	11318541	11318650	MTOR	3
NM_004958.3	1	-	11166587	11322608	11319304	11319480	MTOR	2
NM_004958.3	1	-	11166587	11322608	11322501	11322608	MTOR	1
NM_015001.2	1	+	16174358	16266950	16174358	16174645	SPEN	1
NM_015001.2	1	+	16174358	16266950	16199310	16199631	SPEN	2
NM_015001.2	1	+	16174358	16266950	16202696	16203173	SPEN	3
NM_015001.2	1	+	16174358	16266950	16235815	16235976	SPEN	4
NM_015001.2	1	+	16174358	16266950	16237595	16237796	SPEN	5
NM_015001.2	1	+	16174358	16266950	16242622	16242774	SPEN	6
NM_015001.2	1	+	16174358	16266950	16245420	16245546	SPEN	7
NM_015001.2	1	+	16174358	16266950	16245898	16246012	SPEN	8
NM_015001.2	1	+	16174358	16266950	16247364	16247478	SPEN	9
NM_015001.2	1	+	16174358	16266950	16248743	16248844	SPEN	10
NM_015001.2	1	+	16174358	16266950	16254585	16262761	SPEN	11
NM_015001.2	1	+	16174358	16266950	16263657	16264140	SPEN	12
NM_015001.2	1	+	16174358	16266950	16264306	16264501	SPEN	13
NM_015001.2	1	+	16174358	16266950	16265212	16265371	SPEN	14
NM_015001.2	1	+	16174358	16266950	16265790	16266950	SPEN	15
NM_001135254.1	1	+	18957499	19075360	18957499	18958182	PAX7	1
NM_001135254.1	1	+	18957499	19075360	18960796	18961032	PAX7	2
NM_001135254.1	1	+	18957499	19075360	18961604	18961734	PAX7	3
NM_001135254.1	1	+	18957499	19075360	18962730	18962865	PAX7	4
NM_001135254.1	1	+	18957499	19075360	19018247	19018447	PAX7	5
NM_001135254.1	1	+	18957499	19075360	19027146	19027312	PAX7	6
NM_001135254.1	1	+	18957499	19075360	19029587	19029790	PAX7	7
NM_001135254.1	1	+	18957499	19075360	19062125	19062372	PAX7	8
NM_001135254.1	1	+	18957499	19075360	19071307	19075360	PAX7	9
NM_015906.3	1	-	114935398	115053781	114935398	114940482	TRIM33	20
NM_015906.3	1	-	114935398	115053781	114940561	114940612	TRIM33	19
NM_015906.3	1	-	114935398	115053781	114942078	114942231	TRIM33	18
NM_015906.3	1	-	114935398	115053781	114944010	114944085	TRIM33	17
NM_015906.3	1	-	114935398	115053781	114945381	114945505	TRIM33	16
NM_015906.3	1	-	114935398	115053781	114948031	114948381	TRIM33	15
NM_015906.3	1	-	114935398	115053781	114949562	114949722	TRIM33	14
NM_015906.3	1	-	114935398	115053781	114951298	114951362	TRIM33	13
NM_015906.3	1	-	114935398	115053781	114952805	114952938	TRIM33	12
NM_015906.3	1	-	114935398	115053781	114964057	114964258	TRIM33	11
NM_015906.3	1	-	114935398	115053781	114967212	114967377	TRIM33	10
NM_015906.3	1	-	114935398	115053781	114968070	114968345	TRIM33	9
NM_015906.3	1	-	114935398	115053781	114969798	114969916	TRIM33	8
NM_015906.3	1	-	114935398	115053781	114970369	114970516	TRIM33	7
NM_015906.3	1	-	114935398	115053781	114973419	114973534	TRIM33	6
NM_015906.3	1	-	114935398	115053781	114976238	114976355	TRIM33	5
NM_015906.3	1	-	114935398	115053781	115005725	115005858	TRIM33	4
NM_015906.3	1	-	114935398	115053781	115006033	115006178	TRIM33	3
NM_015906.3	1	-	114935398	115053781	115006891	115007010	TRIM33	2
NM_015906.3	1	-	114935398	115053781	115053171	115053781	TRIM33	1
NM_000701.7	1	+	116915794	116947396	116915794	116916145	ATP1A1	1
NM_000701.7	1	+	116915794	116947396	116926635	116926746	ATP1A1	2
NM_000701.7	1	+	116915794	116947396	116927404	116927464	ATP1A1	3
NM_000701.7	1	+	116915794	116947396	116929909	116930113	ATP1A1	4
NM_000701.7	1	+	116915794	116947396	116930752	116930866	ATP1A1	5
NM_000701.7	1	+	116915794	116947396	116931259	116931394	ATP1A1	6
NM_000701.7	1	+	116915794	116947396	116931523	116931641	ATP1A1	7
NM_000701.7	1	+	116915794	116947396	116932060	116932329	ATP1A1	8
NM_000701.7	1	+	116915794	116947396	116932834	116933033	ATP1A1	9
NM_000701.7	1	+	116915794	116947396	116933403	116933513	ATP1A1	10
NM_000701.7	1	+	116915794	116947396	116935475	116935610	ATP1A1	11
NM_000701.7	1	+	116915794	116947396	116936152	116936345	ATP1A1	12
NM_000701.7	1	+	116915794	116947396	116937731	116937907	ATP1A1	13
NM_000701.7	1	+	116915794	116947396	116939219	116939356	ATP1A1	14
NM_000701.7	1	+	116915794	116947396	116940509	116940660	ATP1A1	15
NM_000701.7	1	+	116915794	116947396	116941242	116941411	ATP1A1	16
NM_000701.7	1	+	116915794	116947396	116941551	116941706	ATP1A1	17
NM_000701.7	1	+	116915794	116947396	116942041	116942165	ATP1A1	18
NM_000701.7	1	+	116915794	116947396	116943482	116943628	ATP1A1	19
NM_000701.7	1	+	116915794	116947396	116943751	116943882	ATP1A1	20
NM_000701.7	1	+	116915794	116947396	116944175	116944277	ATP1A1	21
NM_000701.7	1	+	116915794	116947396	116946505	116946597	ATP1A1	22
NM_000701.7	1	+	116915794	116947396	116947037	116947396	ATP1A1	23
NM_004326.3	1	+	147013270	147098020	147013270	147013444	BCL9	1
NM_004326.3	1	+	147013270	147098020	147076569	147076704	BCL9	2
NM_004326.3	1	+	147013270	147098020	147078576	147078659	BCL9	3
NM_004326.3	1	+	147013270	147098020	147083376	147083688	BCL9	4
NM_004326.3	1	+	147013270	147098020	147084681	147084998	BCL9	5
NM_004326.3	1	+	147013270	147098020	147086225	147086415	BCL9	6
NM_004326.3	1	+	147013270	147098020	147087602	147087702	BCL9	7
NM_004326.3	1	+	147013270	147098020	147090621	147092863	BCL9	8
NM_004326.3	1	+	147013270	147098020	147094071	147094332	BCL9	9
NM_004326.3	1	+	147013270	147098020	147095642	147098020	BCL9	10
NM_001257374.2	1	+	156095907	156109880	156095907	156096014	LMNA	1
NM_001257374.2	1	+	156095907	156109880	156100407	156100564	LMNA	2
NM_001257374.2	1	+	156095907	156109880	156104193	156104319	LMNA	3
NM_001257374.2	1	+	156095907	156109880	156104595	156104766	LMNA	4
NM_001257374.2	1	+	156095907	156109880	156104977	156105103	LMNA	5
NM_001257374.2	1	+	156095907	156109880	156105691	156105912	LMNA	6
NM_001257374.2	1	+	156095907	156109880	156106004	156106227	LMNA	7
NM_001257374.2	1	+	156095907	156109880	156106711	156106819	LMNA	8
NM_001257374.2	1	+	156095907	156109880	156106903	156107023	LMNA	9
NM_001257374.2	1	+	156095907	156109880	156107444	156107534	LMNA	10
NM_001257374.2	1	+	156095907	156109880	156108278	156108548	LMNA	11
NM_001257374.2	1	+	156095907	156109880	156108870	156108893	LMNA	12
NM_001257374.2	1	+	156095907	156109880	156109560	156109880	LMNA	13
NM_005973.4	1	+	156737273	156770609	156737273	156738031	PRCC	1
NM_005973.4	1	+	156737273	156770609	156752073	156752121	PRCC	2
NM_005973.4	1	+	156737273	156770609	156756399	156756966	PRCC	3
NM_005973.4	1	+	156737273	156770609	156761488	156761584	PRCC	4
NM_005973.4	1	+	156737273	156770609	156764456	156764600	PRCC	5
NM_005973.4	1	+	156737273	156770609	156767067	156767133	PRCC	6
NM_005973.4	1	+	156737273	156770609	156770165	156770609	PRCC	7
NM_031282.2	1	-	157543538	157567870	157543538	157545400	FCRL4	12
NM_031282.2	1	-	157543538	157567870	157545488	157545520	FCRL4	11
NM_031282.2	1	-	157543538	157567870	157548263	157548332	FCRL4	10
NM_031282.2	1	-	157543538	157567870	157548559	157548642	FCRL4	9
NM_031282.2	1	-	157543538	157567870	157550110	157550138	FCRL4	8
NM_031282.2	1	-	157543538	157567870	157551320	157551434	FCRL4	7
NM_031282.2	1	-	157543538	157567870	157555957	157556245	FCRL4	6
NM_031282.2	1	-	157543538	157567870	157557065	157557350	FCRL4	5
NM_031282.2	1	-	157543538	157567870	157557654	157557909	FCRL4	4
NM_031282.2	1	-	157543538	157567870	157558993	157559248	FCRL4	3
NM_031282.2	1	-	157543538	157567870	157566117	157566138	FCRL4	2
NM_031282.2	1	-	157543538	157567870	157567703	157567870	FCRL4	1
NM_001014796.1	1	+	162602227	162750255	162602227	162602421	DDR2	1
NM_001014796.1	1	+	162602227	162750255	162625000	162625164	DDR2	2
NM_001014796.1	1	+	162602227	162750255	162674841	162674921	DDR2	3
NM_001014796.1	1	+	162602227	162750255	162688826	162688935	DDR2	4
NM_001014796.1	1	+	162602227	162750255	162722884	162722987	DDR2	5
NM_001014796.1	1	+	162602227	162750255	162724413	162724645	DDR2	6
NM_001014796.1	1	+	162602227	162750255	162724945	162725093	DDR2	7
NM_001014796.1	1	+	162602227	162750255	162725453	162725559	DDR2	8
NM_001014796.1	1	+	162602227	162750255	162729585	162729769	DDR2	9
NM_001014796.1	1	+	162602227	162750255	162731000	162731244	DDR2	10
NM_001014796.1	1	+	162602227	162750255	162735790	162735853	DDR2	11
NM_001014796.1	1	+	162602227	162750255	162737018	162737149	DDR2	12
NM_001014796.1	1	+	162602227	162750255	162740091	162740302	DDR2	13
NM_001014796.1	1	+	162602227	162750255	162741813	162742037	DDR2	14
NM_001014796.1	1	+	162602227	162750255	162743258	162743386	DDR2	15
NM_001014796.1	1	+	162602227	162750255	162745441	162745633	DDR2	16
NM_001014796.1	1	+	162602227	162750255	162745925	162746160	DDR2	17
NM_001014796.1	1	+	162602227	162750255	162748369	162748519	DDR2	18
NM_001014796.1	1	+	162602227	162750255	162749901	162750255	DDR2	19
NM_006902.4	1	+	170633312	170708541	170633312	170633600	PRRX1	1
NM_006902.4	1	+	170633312	170708541	170688866	170689042	PRRX1	2
NM_006902.4	1	+	170633312	170708541	170695360	170695542	PRRX1	3
NM_006902.4	1	+	170633312	170708541	170699417	170699489	PRRX1	4
NM_006902.4	1	+	170633312	170708541	170705188	170708541	PRRX1	5
NM_024529.4	1	+	193091087	193223945	193091087	193091461	CDC73	1
NM_024529.4	1	+	193091087	193223945	193094241	193094347	CDC73	2
NM_024529.4	1	+	193091087	193223945	193099303	193099373	CDC73	3
NM_024529.4	1	+	193091087	193223945	193104520	193104583	CDC73	4
NM_024529.4	1	+	193091087	193223945	193104666	193104719	CDC73	5
NM_024529.4	1	+	193091087	193223945	193107214	193107303	CDC73	6
NM_024529.4	1	+	193091087	193223945	193110979	193111196	CDC73	7
NM_024529.4	1	+	193091087	193223945	193116996	193117095	CDC73	8
NM_024529.4	1	+	193091087	193223945	193119433	193119512	CDC73	9
NM_024529.4	1	+	193091087	193223945	193121509	193121574	CDC73	10
NM_024529.4	1	+	193091087	193223945	193172924	193172982	CDC73	11
NM_024529.4	1	+	193091087	193223945	193181194	193181230	CDC73	12
NM_024529.4	1	+	193091087	193223945	193181519	193181607	CDC73	13
NM_024529.4	1	+	193091087	193223945	193202122	193202284	CDC73	14
NM_024529.4	1	+	193091087	193223945	193205385	193205486	CDC73	15
NM_024529.4	1	+	193091087	193223945	193218859	193219001	CDC73	16
NM_024529.4	1	+	193091087	193223945	193219805	193223945	CDC73	17
NM_001114309.1	1	+	201979689	201986316	201979689	201979948	ELF3	1
NM_001114309.1	1	+	201979689	201986316	201980256	201980427	ELF3	2
NM_001114309.1	1	+	201979689	201986316	201981084	201981306	ELF3	3
NM_001114309.1	1	+	201979689	201986316	201981471	201981564	ELF3	4
NM_001114309.1	1	+	201979689	201986316	201981767	201981887	ELF3	5
NM_001114309.1	1	+	201979689	201986316	201982074	201982164	ELF3	6
NM_001114309.1	1	+	201979689	201986316	201982309	201982426	ELF3	7
NM_001114309.1	1	+	201979689	201986316	201982956	201983152	ELF3	8
NM_001114309.1	1	+	201979689	201986316	201984336	201986316	ELF3	9
NM_001206729.1	1	-	243663020	244006886	243663020	243663088	AKT3	14
NM_001206729.1	1	-	243663020	244006886	243675625	243675728	AKT3	13
NM_001206729.1	1	-	243663020	244006886	243708811	243708899	AKT3	12
NM_001206729.1	1	-	243663020	244006886	243716030	243716245	AKT3	11
NM_001206729.1	1	-	243663020	244006886	243727021	243727150	AKT3	10
NM_001206729.1	1	-	243663020	244006886	243736227	243736350	AKT3	9
NM_001206729.1	1	-	243663020	244006886	243776972	243777041	AKT3	8
NM_001206729.1	1	-	243663020	244006886	243778397	243778463	AKT3	7
NM_001206729.1	1	-	243663020	244006886	243800912	243801044	AKT3	6
NM_001206729.1	1	-	243663020	244006886	243809194	243809339	AKT3	5
NM_001206729.1	1	-	243663020	244006886	243828073	243828185	AKT3	4
NM_001206729.1	1	-	243663020	244006886	243858892	243859018	AKT3	3
NM_001206729.1	1	-	243663020	244006886	244006426	244006584	AKT3	2
NM_001206729.1	1	-	243663020	244006886	244006845	244006886	AKT3	1
NM_000983.3	1	-	6245079	6259679	6245079	6246876	RPL22	4
NM_000983.3	1	-	6245079	6259679	6252989	6253114	RPL22	3
NM_000983.3	1	-	6245079	6259679	6257711	6257816	RPL22	2
NM_000983.3	1	-	6245079	6259679	6259621	6259679	RPL22	1
NM_001229.4	1	-	15817895	15850940	15817895	15819530	CASP9	9
NM_001229.4	1	-	15817895	15850940	15820386	15820496	CASP9	8
NM_001229.4	1	-	15817895	15850940	15821767	15821947	CASP9	7
NM_001229.4	1	-	15817895	15850940	15831105	15831253	CASP9	6
NM_001229.4	1	-	15817895	15850940	15832484	15832574	CASP9	5
NM_001229.4	1	-	15817895	15850940	15833393	15833570	CASP9	4
NM_001229.4	1	-	15817895	15850940	15834367	15834402	CASP9	3
NM_001229.4	1	-	15817895	15850940	15844604	15844890	CASP9	2
NM_001229.4	1	-	15817895	15850940	15850563	15850940	CASP9	1
NM_003000.2	1	-	17345216	17380665	17345216	17345453	SDHB	8
NM_003000.2	1	-	17345216	17380665	17349102	17349225	SDHB	7
NM_003000.2	1	-	17345216	17380665	17350467	17350569	SDHB	6
NM_003000.2	1	-	17345216	17380665	17354243	17354360	SDHB	5
NM_003000.2	1	-	17345216	17380665	17355094	17355231	SDHB	4
NM_003000.2	1	-	17345216	17380665	17359554	17359640	SDHB	3
NM_003000.2	1	-	17345216	17380665	17371255	17371383	SDHB	2
NM_003000.2	1	-	17345216	17380665	17380442	17380665	SDHB	1
NM_002167.4	1	-	23884420	23886285	23884420	23884906	ID3	3
NM_002167.4	1	-	23884420	23886285	23885425	23885510	ID3	2
NM_002167.4	1	-	23884420	23886285	23885617	23886285	ID3	1
NM_001348075.1	1	+	23953823	23967058	23953823	23954027	MDS2	1
NM_001348075.1	1	+	23953823	23967058	23954270	23954488	MDS2	2
NM_001348075.1	1	+	23953823	23967058	23954996	23955087	MDS2	3
NM_001348075.1	1	+	23953823	23967058	23955970	23956047	MDS2	4
NM_001348075.1	1	+	23953823	23967058	23965598	23965741	MDS2	5
NM_001348075.1	1	+	23953823	23967058	23966169	23966285	MDS2	6
NM_001348075.1	1	+	23953823	23967058	23966878	23967058	MDS2	7
NM_006015.4	1	+	27022521	27108601	27022521	27024031	ARID1A	1
NM_006015.4	1	+	27022521	27108601	27056141	27056354	ARID1A	2
NM_006015.4	1	+	27022521	27108601	27057642	27058095	ARID1A	3
NM_006015.4	1	+	27022521	27108601	27059166	27059283	ARID1A	4
NM_006015.4	1	+	27022521	27108601	27087346	27087587	ARID1A	5
NM_006015.4	1	+	27022521	27108601	27087874	27087964	ARID1A	6
NM_006015.4	1	+	27022521	27108601	27088642	27088810	ARID1A	7
NM_006015.4	1	+	27022521	27108601	27089463	27089776	ARID1A	8
NM_006015.4	1	+	27022521	27108601	27092711	27092857	ARID1A	9
NM_006015.4	1	+	27022521	27108601	27092947	27093057	ARID1A	10
NM_006015.4	1	+	27022521	27108601	27094280	27094490	ARID1A	11
NM_006015.4	1	+	27022521	27108601	27097609	27097817	ARID1A	12
NM_006015.4	1	+	27022521	27108601	27098990	27099123	ARID1A	13
NM_006015.4	1	+	27022521	27108601	27099302	27099478	ARID1A	14
NM_006015.4	1	+	27022521	27108601	27099836	27099987	ARID1A	15
NM_006015.4	1	+	27022521	27108601	27100070	27100208	ARID1A	16
NM_006015.4	1	+	27022521	27108601	27100292	27100389	ARID1A	17
NM_006015.4	1	+	27022521	27108601	27100819	27101711	ARID1A	18
NM_006015.4	1	+	27022521	27108601	27102067	27102198	ARID1A	19
NM_006015.4	1	+	27022521	27108601	27105513	27108601	ARID1A	20
NM_001042771.2	1	+	32739711	32751768	32739711	32739827	LCK	1
NM_001042771.2	1	+	32739711	32751768	32739925	32740035	LCK	2
NM_001042771.2	1	+	32739711	32751768	32740337	32740419	LCK	3
NM_001042771.2	1	+	32739711	32751768	32740593	32740684	LCK	4
NM_001042771.2	1	+	32739711	32751768	32740921	32741020	LCK	5
NM_001042771.2	1	+	32739711	32751768	32741169	32741273	LCK	6
NM_001042771.2	1	+	32739711	32751768	32741514	32741664	LCK	7
NM_001042771.2	1	+	32739711	32751768	32741937	32742090	LCK	8
NM_001042771.2	1	+	32739711	32751768	32742207	32742387	LCK	9
NM_001042771.2	1	+	32739711	32751768	32745271	32745348	LCK	10
NM_001042771.2	1	+	32739711	32751768	32745441	32745595	LCK	11
NM_001042771.2	1	+	32739711	32751768	32745679	32745811	LCK	12
NM_001042771.2	1	+	32739711	32751768	32751114	32751768	LCK	13
NM_005373.2	1	+	43803474	43820135	43803474	43803598	MPL	1
NM_005373.2	1	+	43803474	43820135	43803769	43803902	MPL	2
NM_005373.2	1	+	43803474	43820135	43804212	43804391	MPL	3
NM_005373.2	1	+	43803474	43820135	43804941	43805240	MPL	4
NM_005373.2	1	+	43803474	43820135	43805634	43805797	MPL	5
NM_005373.2	1	+	43803474	43820135	43806057	43806184	MPL	6
NM_005373.2	1	+	43803474	43820135	43812115	43812300	MPL	7
NM_005373.2	1	+	43803474	43820135	43812462	43812605	MPL	8
NM_005373.2	1	+	43803474	43820135	43814513	43814673	MPL	9
NM_005373.2	1	+	43803474	43820135	43814933	43815030	MPL	10
NM_005373.2	1	+	43803474	43820135	43817886	43817974	MPL	11
NM_005373.2	1	+	43803474	43820135	43818188	43820135	MPL	12
NM_001262.2	1	+	51434366	51440306	51434366	51435571	CDKN2C	1
NM_001262.2	1	+	51434366	51440306	51436029	51436169	CDKN2C	2
NM_001262.2	1	+	51434366	51440306	51439564	51440306	CDKN2C	3
NM_002228.3	1	-	59246462	59249785	59246462	59249785	JUN	1
NM_001303433.1	1	-	78414086	78444889	78414086	78414459	FUBP1	21
NM_001303433.1	1	-	78414086	78444889	78414839	78414985	FUBP1	20
NM_001303433.1	1	-	78414086	78444889	78420939	78421014	FUBP1	19
NM_001303433.1	1	-	78414086	78444889	78422256	78422385	FUBP1	18
NM_001303433.1	1	-	78414086	78444889	78425868	78425948	FUBP1	17
NM_001303433.1	1	-	78414086	78444889	78426028	78426180	FUBP1	16
NM_001303433.1	1	-	78414086	78444889	78428454	78428615	FUBP1	15
NM_001303433.1	1	-	78414086	78444889	78429258	78429400	FUBP1	14
NM_001303433.1	1	-	78414086	78444889	78429746	78429847	FUBP1	13
NM_001303433.1	1	-	78414086	78444889	78429938	78430041	FUBP1	12
NM_001303433.1	1	-	78414086	78444889	78430330	78430432	FUBP1	11
NM_001303433.1	1	-	78414086	78444889	78430554	78430653	FUBP1	10
NM_001303433.1	1	-	78414086	78444889	78430752	78430915	FUBP1	9
NM_001303433.1	1	-	78414086	78444889	78432377	78432435	FUBP1	8
NM_001303433.1	1	-	78414086	78444889	78432567	78432639	FUBP1	7
NM_001303433.1	1	-	78414086	78444889	78432732	78432785	FUBP1	6
NM_001303433.1	1	-	78414086	78444889	78433310	78433350	FUBP1	5
NM_001303433.1	1	-	78414086	78444889	78433848	78433887	FUBP1	4
NM_001303433.1	1	-	78414086	78444889	78434705	78434768	FUBP1	3
NM_001303433.1	1	-	78414086	78444889	78435608	78435699	FUBP1	2
NM_001303433.1	1	-	78414086	78444889	78444568	78444889	FUBP1	1
NM_001320715.1	1	-	85731458	85742587	85731458	85733632	BCL10	3
NM_001320715.1	1	-	85731458	85742587	85736300	85736589	BCL10	2
NM_001320715.1	1	-	85731458	85742587	85741978	85742587	BCL10	1
NM_000969.3	1	+	93297593	93307481	93297593	93297674	RPL5	1
NM_000969.3	1	+	93297593	93307481	93298945	93299015	RPL5	2
NM_000969.3	1	+	93297593	93307481	93299101	93299217	RPL5	3
NM_000969.3	1	+	93297593	93307481	93300335	93300470	RPL5	4
NM_000969.3	1	+	93297593	93307481	93301746	93301949	RPL5	5
NM_000969.3	1	+	93297593	93307481	93303012	93303190	RPL5	6
NM_000969.3	1	+	93297593	93307481	93306107	93306196	RPL5	7
NM_000969.3	1	+	93297593	93307481	93307322	93307481	RPL5	8
NM_002524.4	1	-	115247084	115259515	115247084	115250671	NRAS	7
NM_002524.4	1	-	115247084	115259515	115250774	115250813	NRAS	6
NM_002524.4	1	-	115247084	115259515	115251151	115251275	NRAS	5
NM_002524.4	1	-	115247084	115259515	115252189	115252349	NRAS	4
NM_002524.4	1	-	115247084	115259515	115256420	115256599	NRAS	3
NM_002524.4	1	-	115247084	115259515	115258670	115258798	NRAS	2
NM_002524.4	1	-	115247084	115259515	115259278	115259515	NRAS	1
NM_001145415.1	1	+	150898814	150937220	150898814	150898993	SETDB1	1
NM_001145415.1	1	+	150898814	150937220	150900179	150900450	SETDB1	2
NM_001145415.1	1	+	150898814	150937220	150902442	150902594	SETDB1	3
